W/B,MK ,B,SP ,CS,MOE,Density
0.7,6,30,0,35.68,15.308,1907.9
0.7,6,30,0,34.94,16.008,1903.4
0.7,6,30,0,33.27,16.529,1923.8
0.7,6,30,0,35.82,16.929,1876.6
0.7,6,30,0,39.31,16.124,1883.5
0.7,6,30,0,38.16,15.525,1911.5
0.7,6,30,0,33.79,17.725,1917.6
0.7,6,30,0,35.49,20.365,1894.7
1,0,50,0,12.21,11.08,1852.9
1,0,50,0,15.41,12.005,1884.9
1,0,50,0,17.39,15.598,1955.5
1,0,50,0,16.39,10.943,1844.6
1,0,50,0,15.05,12.352,1775.7
1,0,30,0,17.21,18.732,2029.1
1,0,30,0,15.52,14.212,1934.5
1,0,30,0,16.56,14.149,1929.9
1,0,30,0,15.28,12.74,1873.2
1,5,50,0,17.32,15.575,1796
1,5,50,0,16.03,13.224,1815.5
1,5,50,0,18.64,9.836,1696.9
1,5,50,0,17.2,11.299,1754.8
1,5,50,0,14.37,10.686,1729.4
1,5,50,0,14.67,10.341,1640.6
1,5,50,0,14.74,11.803,1676.6
1,3,30,0,16.13,12.304,1806.2
1,3,30,0,20.84,12.832,1902.2
1,3,30,0,14.28,10.094,1768.7
1,3,30,0,14.16,10.735,1724.4
1,3,30,0,14.42,10.125,1791.8
1,3,30,0,15.6,11.474,1717.3
1,3,30,0,15.74,11.834,1789.8
1,10,50,0,19,10.029,1652.4
1,10,50,0,20.26,9.171,1662.1
1,10,50,0,19.6,10.271,1652
1,10,50,0,16.73,10.539,1703.8
1,10,50,0,18.38,9.072,1616.6
1,10,50,0,19.54,10.013,1720.1
1,10,50,0,17.85,9.515,1635.2
1,10,50,0,18.82,9.079,1634.6
1,6,30,0,16.67,12.034,1761.1
1,6,30,0,20.24,8.509,1694.6
1,6,30,0,17.89,9.197,1706
1,6,30,0,14.86,9.972,1749.6
1,6,30,0,18.16,9.338,1653.4
1,6,30,0,17.95,10.852,1705.8
1,6,30,0,14.92,11.56,1679.5
1,6,30,0,14.89,11.57,1666.8
